num,player,season,time,reb,ast,ste,blo,tov,ppg,win,lose,win_rate,
4790,Chuck Hayes,2013.000000,12.400000,3.400000,0.600000,0.600000,0.200000,0.500000,2.200000,33.000000,28.000000,0.540984,
4791,Chuck Hayes,2013.000000,12.800000,3.600000,0.600000,0.500000,0.200000,0.600000,2.200000,28.000000,17.000000,0.622222,
4792,Chuck Hayes,2013.000000,11.200000,2.900000,0.400000,0.700000,0.100000,0.400000,2.100000,5.000000,11.000000,0.312500,
4793,Chuck Hayes,2012.000000,16.400000,4.000000,1.500000,0.400000,0.200000,0.600000,2.700000,27.000000,47.000000,0.364865,
4794,Chuck Hayes,2011.000000,19.200000,4.300000,1.400000,0.700000,0.300000,0.900000,3.200000,19.000000,35.000000,0.351852,
4795,Chuck Hayes,2010.000000,28.100000,8.100000,2.700000,1.100000,0.700000,1.200000,7.900000,41.000000,33.000000,0.554054,
4796,Chuck Hayes,2009.000000,21.600000,5.700000,1.700000,0.900000,0.500000,0.900000,4.400000,42.000000,40.000000,0.512195,
4797,Chuck Hayes,2008.000000,12.100000,3.500000,0.600000,0.500000,0.300000,0.400000,1.300000,46.000000,25.000000,0.647887,
4798,Chuck Hayes,2007.000000,19.900000,5.400000,1.200000,1.100000,0.500000,0.800000,3.000000,52.000000,27.000000,0.658228,
4799,Chuck Hayes,2006.000000,22.000000,6.700000,0.600000,0.900000,0.200000,0.800000,5.600000,50.000000,28.000000,0.641026,
4800,Chuck Hayes,2005.000000,13.400000,4.500000,0.400000,0.700000,0.400000,0.300000,3.700000,19.000000,21.000000,0.475000,
4801,Chuck Lloyd,1970.000000,8.400000,1.800000,0.400000,0.350000,0.200000,0.100000,4.700000,10.000000,10.500000,0.487805,
4802,Chuck Monse,1956.000000,25.700000,3.300000,2.800000,0.350000,0.200000,0.550000,9.200000,10.000000,10.500000,0.487805,
4803,Chuck Monse,1955.000000,14.100000,1.600000,1.900000,0.350000,0.200000,0.550000,4.600000,10.000000,10.500000,0.487805,
4804,Chuck Murazovic,1950.000000,7.550000,1.400000,0.500000,0.350000,0.200000,0.550000,3.300000,10.000000,10.500000,0.487805,
4805,Chuck Nevitt,1993.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,3.000000,1.000000,0.000000,1.000000,
4806,Chuck Nevitt,1991.000000,2.300000,0.300000,0.300000,0.000000,0.000000,0.800000,0.500000,4.000000,0.000000,1.000000,
4807,Chuck Nevitt,1989.000000,3.000000,1.000000,0.300000,0.000000,0.300000,0.700000,1.300000,2.000000,1.000000,0.666667,
4808,Chuck Nevitt,1988.000000,5.300000,1.500000,0.100000,0.100000,0.700000,0.500000,1.500000,23.000000,20.000000,0.534884,
4809,Chuck Nevitt,1987.000000,3.700000,1.100000,0.000000,0.100000,0.300000,0.100000,1.000000,14.000000,3.000000,0.823529,
4810,Chuck Nevitt,1986.000000,6.500000,2.000000,0.100000,0.200000,0.700000,0.500000,1.900000,27.000000,14.000000,0.658537,
4811,Chuck Nevitt,1985.000000,4.300000,1.100000,0.200000,0.100000,0.700000,0.400000,1.700000,19.000000,10.000000,0.655172,
4812,Chuck Nevitt,1985.000000,4.000000,1.000000,0.200000,0.100000,0.700000,0.300000,1.600000,15.000000,10.000000,0.600000,
4813,Chuck Nevitt,1985.000000,6.300000,1.800000,0.500000,0.500000,0.500000,1.300000,2.500000,4.000000,0.000000,1.000000,
4814,Chuck Nevitt,1984.000000,5.400000,1.800000,0.300000,0.000000,1.400000,0.900000,1.100000,11.500000,9.000000,0.560976,
